                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.01502,                0.02394,                 0.2615,                 0.9186,                0.79062,                0.81355,                 0.8514,                0.75255,                0.78602,                0.80862,                 0.8457,                0.66475,                 0.0143,                0.02243,                0.36926,                0.96278,               0.022927,               0.022927,               0.022927
                     53,                0.01499,                 0.0248,                 0.2592,                0.90574,                0.78294,                 0.8266,                0.85714,                0.75045,                0.77926,                0.82619,                0.85252,                0.67147,                0.01489,                0.02347,                0.36666,                0.96159,               0.022909,               0.022909,               0.022909
                     54,                0.01535,                 0.0237,                0.25728,                  0.916,                0.84038,                0.77701,                0.86038,                0.75931,                0.84215,                0.76787,                0.85493,                0.66911,                0.01402,                0.02303,                0.36755,                 0.9504,                0.02289,                0.02289,                0.02289
                     55,                0.01527,                0.02424,                0.26312,                0.90945,                0.76931,                0.82429,                0.83954,                0.74024,                0.76306,                0.81693,                0.83112,                0.65424,                0.01412,                0.02292,                0.37743,                0.95742,               0.022872,               0.022872,               0.022872
                     56,                0.01484,                0.02356,                0.25816,                0.91287,                0.78975,                0.81475,                0.84389,                0.74383,                0.78574,                0.81033,                0.83739,                0.65484,                0.01411,                0.02335,                0.38135,                0.95696,               0.022854,               0.022854,               0.022854
                     57,                0.01496,                0.02333,                 0.2498,                0.90917,                0.77476,                0.78378,                0.82837,                0.73411,                0.75779,                   0.79,                0.82344,                0.64497,                0.01419,                 0.0227,                0.40193,                0.96852,               0.022836,               0.022836,               0.022836
                     58,                0.01467,                0.02414,                0.25413,                0.90975,                0.81819,                0.80982,                0.86646,                 0.7646,                  0.814,                0.80196,                0.85897,                0.67346,                0.01434,                 0.0234,                0.35648,                0.97138,               0.022818,               0.022818,               0.022818
                     59,                0.01493,                0.02346,                0.25861,                0.91502,                 0.7539,                0.80919,                0.83061,                0.73331,                0.75196,                0.80459,                0.82657,                0.65314,                0.01428,                0.02234,                0.40281,                0.96866,                 0.0228,                 0.0228,                 0.0228
                     60,                0.01535,                0.02383,                  0.266,                0.91418,                0.78183,                 0.7941,                0.83618,                0.73807,                0.78089,                 0.7931,                0.83324,                0.66235,                0.01441,                0.02323,                0.38134,                0.97083,               0.022781,               0.022781,               0.022781
                     61,                0.01501,                0.02322,                0.26026,                0.91117,                0.82737,                0.77412,                0.85329,                0.75682,                0.82499,                0.77213,                0.84815,                0.66777,                0.01426,                0.02248,                0.37452,                0.95685,               0.022763,               0.022763,               0.022763
                     62,                0.01516,                0.02385,                0.26304,                0.91135,                0.78552,                0.79287,                0.84279,                0.74801,                  0.783,                0.78948,                0.84048,                0.66768,                0.01425,                 0.0232,                0.39043,                0.96828,               0.022745,               0.022745,               0.022745
                     63,                0.01504,                0.02353,                0.25389,                0.91086,                0.77742,                0.80422,                0.84693,                0.75026,                0.78031,                0.80092,                0.84248,                0.66719,                0.01427,                0.02249,                 0.3973,                0.95453,               0.022727,               0.022727,               0.022727
                     64,                0.01502,                0.02332,                0.25743,                0.91003,                0.77228,                0.84033,                0.86427,                0.76184,                0.78768,                0.81529,                0.85924,                0.66979,                0.01423,                0.02297,                0.36227,                0.96685,               0.022709,               0.022709,               0.022709
                     65,                0.01445,                0.02292,                0.25113,                0.90798,                0.83366,                0.79059,                0.86166,                0.76268,                0.82604,                0.79031,                0.85654,                0.66917,                0.01388,                 0.0224,                0.34328,                0.96163,               0.022691,               0.022691,               0.022691
                     66,                0.01493,                0.02536,                0.26007,                0.91152,                 0.7566,                0.81714,                0.84144,                0.74309,                0.75155,                0.81343,                 0.8373,                0.64809,                0.01439,                0.02656,                 0.3758,                0.97258,               0.022673,               0.022673,               0.022673
                     67,                0.01479,                0.02426,                0.25926,                0.90897,                0.80499,                0.80499,                0.85101,                0.75111,                0.80152,                0.80171,                0.84613,                  0.658,                0.01417,                0.02297,                0.36232,                0.95803,               0.022654,               0.022654,               0.022654
                     68,                0.01469,                0.02387,                0.25404,                0.90466,                0.80845,                0.80129,                0.84909,                0.74581,                0.80077,                0.80844,                 0.8454,                0.65585,                0.01456,                0.02372,                0.37302,                0.97449,               0.022636,               0.022636,               0.022636
                     69,                0.01533,                0.02407,                  0.267,                0.90678,                0.75377,                0.81491,                 0.8399,                0.74283,                0.75155,                 0.8124,                0.83635,                0.64923,                0.01443,                0.02282,                0.37415,                0.95814,               0.022618,               0.022618,               0.022618
                     70,                0.01468,                0.02374,                0.25228,                0.90931,                0.78137,                0.81736,                0.85483,                0.75576,                0.82501,                0.77874,                0.85433,                0.65992,                0.01401,                0.02196,                0.34755,                0.94793,                 0.0226,                 0.0226,                 0.0226
                     71,                0.01514,                0.02408,                0.25704,                0.90627,                0.78745,                0.80111,                0.84743,                0.75719,                0.78746,                0.80103,                0.84653,                0.65953,                 0.0139,                0.02211,                0.37414,                0.94259,               0.022582,               0.022582,               0.022582
                     72,                0.01499,                0.02469,                0.26418,                0.91502,                0.79544,                0.80795,                0.83292,                0.73573,                0.78507,                0.80358,                0.82946,                 0.6495,                0.01445,                0.02397,                0.38567,                0.95942,               0.022564,               0.022564,               0.022564
                     73,                0.01474,                 0.0236,                 0.2577,                0.90658,                0.81094,                0.80161,                0.85981,                0.76337,                0.80926,                0.79375,                 0.8582,                0.66927,                  0.014,                0.02306,                0.34438,                0.95323,               0.022545,               0.022545,               0.022545
                     74,                0.01489,                0.02359,                 0.2573,                0.90559,                0.77604,                0.77989,                0.82795,                0.73359,                 0.8015,                0.75173,                0.82411,                0.65222,                  0.014,                0.02214,                 0.3792,                0.94043,               0.022527,               0.022527,               0.022527
                     75,                0.01474,                0.02312,                 0.2533,                0.90948,                0.80432,                0.82789,                0.86227,                0.76421,                0.79773,                0.82867,                0.86063,                0.67153,                0.01444,                0.02269,                 0.3661,                0.96097,               0.022509,               0.022509,               0.022509
                     76,                0.01506,                0.02447,                0.25984,                0.90717,                0.78837,                0.77222,                0.83902,                0.74008,                0.78651,                0.77026,                  0.836,                0.65058,                0.01393,                0.02206,                 0.4007,                0.94902,               0.022491,               0.022491,               0.022491
                     77,                0.01472,                0.02336,                0.24774,                0.90703,                0.76286,                0.80741,                0.83696,                0.74538,                0.78765,                0.77161,                0.82861,                0.65621,                0.01401,                0.02383,                0.40171,                0.95546,               0.022473,               0.022473,               0.022473
                     78,                0.01476,                0.02373,                0.25653,                0.90079,                0.77011,                0.81301,                0.85296,                 0.7511,                0.77655,                0.80424,                 0.8472,                0.65907,                 0.0143,                0.02341,                0.36848,                0.95249,               0.022455,               0.022455,               0.022455
                     79,                0.01468,                0.02402,                0.24813,                0.90365,                0.80132,                0.79469,                0.84839,                 0.7533,                0.75545,                0.83404,                0.84241,                0.66275,                0.01378,                0.02324,                0.36957,                0.95147,               0.022437,               0.022437,               0.022437
                     80,                0.01496,                0.02422,                0.25383,                0.91024,                 0.8183,                0.79309,                  0.852,                0.75527,                0.81674,                0.79159,                0.84512,                0.66841,                0.01419,                0.02273,                0.35749,                 0.9562,               0.022418,               0.022418,               0.022418
                     81,                0.01495,                0.02406,                0.25087,                0.90761,                0.77978,                0.79748,                0.83585,                0.73671,                0.77779,                0.79547,                0.83231,                0.65343,                 0.0144,                 0.0232,                0.38675,                0.95509,                 0.0224,                 0.0224,                 0.0224
                     82,                0.01482,                0.02377,                0.25571,                0.90627,                0.79304,                0.81209,                0.83762,                0.73518,                0.78972,                0.80858,                0.83203,                0.65231,                0.01424,                0.02327,                0.35949,                0.95592,               0.022382,               0.022382,               0.022382
                     83,                0.01472,                0.02383,                0.25494,                 0.9106,                0.79498,                0.79287,                0.84298,                0.74665,                0.79712,                0.79098,                0.84009,                0.66076,                 0.0141,                0.02406,                 0.3877,                0.95694,               0.022364,               0.022364,               0.022364
                     84,                0.01464,                0.02321,                0.25508,                 0.9104,                 0.8006,                0.80454,                0.84924,                0.75006,                0.79855,                0.80254,                0.84586,                0.66267,                0.01418,                0.02376,                0.35049,                0.96555,               0.022346,               0.022346,               0.022346
                     85,                 0.0146,                0.02294,                0.24691,                0.90813,                0.79545,                0.80488,                0.84246,                 0.7499,                0.79143,                0.80087,                0.83725,                0.66872,                0.01376,                0.02265,                0.37085,                0.95447,               0.022328,               0.022328,               0.022328
                     86,                0.01467,                 0.0236,                0.25225,                0.90611,                0.78627,                0.79743,                0.83747,                0.74622,                0.78295,                0.79405,                0.83146,                0.66496,                0.01362,                0.02362,                0.37807,                0.95496,               0.022309,               0.022309,               0.022309
                     87,                0.01475,                0.02345,                0.25486,                0.91325,                0.79914,                0.80677,                0.84807,                0.75687,                0.80555,                0.80025,                0.84311,                0.67532,                0.01386,                 0.0239,                0.37653,                0.95869,               0.022291,               0.022291,               0.022291
                     88,                 0.0143,                0.02316,                0.24727,                0.90165,                0.77756,                0.82602,                0.85571,                0.75574,                0.77239,                0.82206,                0.84926,                0.67364,                0.01387,                0.02218,                0.36815,                 0.9482,               0.022273,               0.022273,               0.022273
                     89,                0.01481,                0.02294,                0.25439,                 0.9058,                0.82193,                0.79997,                0.84986,                0.76012,                0.81757,                0.79538,                0.84454,                0.67627,                0.01354,                0.02301,                0.37553,                0.94216,               0.022255,               0.022255,               0.022255
                     90,                0.01478,                0.02348,                0.25376,                0.91262,                0.76257,                0.81649,                0.83654,                0.73705,                0.75832,                 0.8116,                0.83045,                 0.6535,                0.01375,                0.02292,                0.38493,                0.95236,               0.022237,               0.022237,               0.022237
                     91,                0.01451,                0.02321,                0.24274,                0.90895,                0.78745,                0.82749,                0.86133,                0.76665,                0.79233,                0.82517,                0.85832,                0.67624,                0.01374,                0.02246,                0.36291,                0.94699,               0.022219,               0.022219,               0.022219
                     92,                0.01457,                0.02458,                0.25058,                0.90371,                0.77951,                0.82042,                0.85954,                0.75723,                0.77794,                0.81491,                0.85194,                0.67093,                0.01394,                0.02333,                0.36869,                0.95051,               0.022201,               0.022201,               0.022201
